index,diff
CA,-0.41717141654641665
FL,-0.685
IL,-0.5875
IN,-0.8392857142857142
LA,-0.56
MA,0.014999999999999902
MD,-0.1866666666666667
MN,-0.52
NY,-0.3551078643578645
OH,-0.10666666666666685
RI,-0.3626190476190477
TX,-0.40000000000000013
VA,-0.5246428571428572
WA,-0.68
