State,D,R
AK,0,6
AL,0,6
AR,1,5
AZ,1,5
CA,6,0
CO,3,3
CT,6,0
DC,6,0
DE,6,0
FL,3,3
GA,0,6
HI,6,0
IA,4,2
ID,0,6
IL,6,0
IN,1,5
KS,0,6
KY,1,5
LA,1,5
MA,6,0
MD,6,0
ME,6,0
MI,5,1
MN,6,0
MO,1,5
MS,0,6
MT,0,6
NC,1,5
ND,0,6
NE,0,6
NH,5,1
NJ,6,0
NM,5,1
NV,4,2
NY,6,0
OH,3,3
OK,0,6
OR,6,0
PA,5,1
RI,6,0
SC,0,6
SD,0,6
TN,1,5
TX,0,6
UT,0,6
VA,3,3
VT,6,0
WA,6,0
WI,5,1
WV,1,5
WY,0,6
