AL,2
AR,1
AZ,6
CA,253
CO,4
CT,2
DC,18
FL,10
GA,19
IA,4
IL,36
IN,7
KS,2
KY,4
LA,7
MA,16
MD,4
ME,2
MI,8
MN,6
MO,2
NC,13
NH,1
NJ,7
NV,8
NY,221
OH,22
OR,16
PA,26
RI,4
SC,2
SD,1
TN,5
TX,84
UT,3
VA,13
VT,1
WA,16
WI,3
