AL,0,9,1996
AK,0,3,1996
AZ,8,0,1996
AR,6,0,1996
CA,54,0,1996
CO,0,8,1996
CT,8,0,1996
DE,3,0,1996
DC,3,0,1996
FL,25,0,1996
GA,0,13,1996
HI,4,0,1996
ID,0,4,1996
IL,22,0,1996
IN,0,12,1996
IA,7,0,1996
KS,0,6,1996
KY,8,0,1996
LA,9,0,1996
ME,4,0,1996
MD,10,0,1996
MA,12,0,1996
MI,18,0,1996
MN,10,0,1996
MS,0,7,1996
MO,11,0,1996
MT,0,3,1996
NE,0,5,1996
NV,4,0,1996
NH,4,0,1996
NJ,15,0,1996
NM,5,0,1996
NY,33,0,1996
NC,0,14,1996
ND,0,3,1996
OH,21,0,1996
OK,0,8,1996
OR,7,0,1996
PA,23,0,1996
RI,4,0,1996
SC,0,8,1996
SD,0,3,1996
TN,11,0,1996
TX,0,32,1996
UT,0,5,1996
VT,3,0,1996
VA,0,13,1996
WA,11,0,1996
WV,5,0,1996
WI,11,0,1996
WY,0,3,1996
AL,0,9,2000
AK,0,3,2000
AZ,0,8,2000
AR,0,6,2000
CA,54,0,2000
CO,0,8,2000
CT,8,0,2000
DE,3,0,2000
DC*,2,0,2000
FL,0,25,2000
GA,0,13,2000
HI,4,0,2000
ID,0,4,2000
IL,22,0,2000
IN,0,12,2000
IA,7,0,2000
KS,0,6,2000
KY,0,8,2000
LA,0,9,2000
ME,4,0,2000
MD,10,0,2000
MA,12,0,2000
MI,18,0,2000
MN,10,0,2000
MS,0,7,2000
MO,0,11,2000
MT,0,3,2000
NE,0,5,2000
NV,0,4,2000
NH,0,4,2000
NJ,15,0,2000
NM,5,0,2000
NY,33,0,2000
NC,0,14,2000
ND,0,3,2000
OH,0,21,2000
OK,0,8,2000
OR,7,0,2000
PA,23,0,2000
RI,4,0,2000
SC,0,8,2000
SD,0,3,2000
TN,0,11,2000
TX,0,32,2000
UT,0,5,2000
VT,3,0,2000
VA,0,13,2000
WA,11,0,2000
WV,0,5,2000
WI,11,0,2000
WY,0,3,2000
AL,0,9,2004
AK,0,3,2004
AZ,0,10,2004
AR,0,6,2004
CA,55,0,2004
CO,0,9,2004
CT,7,0,2004
DE,3,0,2004
DC,3,0,2004
FL,0,27,2004
GA,0,15,2004
HI,4,0,2004
ID,0,4,2004
IL,21,0,2004
IN,0,11,2004
IA,0,7,2004
KS,0,6,2004
KY,0,8,2004
LA,0,9,2004
ME,4,0,2004
MD,10,0,2004
MA,12,0,2004
MI,17,0,2004
MN,9*,0,2004
MS,0,6,2004
MO,0,11,2004
MT,0,3,2004
NE,0,5,2004
NV,0,5,2004
NH,4,0,2004
NJ,15,0,2004
NM,0,5,2004
NY,31,0,2004
NC,0,15,2004
ND,0,3,2004
OH,0,20,2004
OK,0,7,2004
OR,7,0,2004
PA,21,0,2004
RI,4,0,2004
SC,0,8,2004
SD,0,3,2004
TN,0,11,2004
TX,0,34,2004
UT,0,5,2004
VT,3,0,2004
VA,0,13,2004
WA,11,0,2004
WV,0,5,2004
WI,10,0,2004
WY,0,3,2004
AL,0,9,2008
AK,0,3,2008
AZ,0,10,2008
AR,0,6,2008
CA,55,0,2008
CO,9,0,2008
CT,7,0,2008
DE,3,0,2008
DC,3,0,2008
FL,27,0,2008
GA,0,15,2008
HI,4,0,2008
ID,0,4,2008
IL,21,0,2008
IN,11,0,2008
IA,7,0,2008
KS,0,6,2008
KY,0,8,2008
LA,0,9,2008
ME,4,0,2008
MD,10,0,2008
MA,12,0,2008
MI,17,0,2008
MN,10,0,2008
MS,0,6,2008
MO,0,11,2008
MT,0,3,2008
NE,1,4,2008
NV,5,0,2008
NH,4,0,2008
NJ,15,0,2008
NM,5,0,2008
NY,31,0,2008
NC,15,0,2008
ND,0,3,2008
OH,20,0,2008
OK,0,7,2008
OR,7,0,2008
PA,21,0,2008
RI,4,0,2008
SC,0,8,2008
SD,0,3,2008
TN,0,11,2008
TX,0,34,2008
UT,0,5,2008
VT,3,0,2008
VA,13,0,2008
WA,11,0,2008
WV,0,5,2008
WI,10,0,2008
WY,0,3,2008
AL,0,9,2012
AK,0,3,2012
AZ,0,11,2012
AR,0,6,2012
CA,55,0,2012
CO,9,0,2012
CT,7,0,2012
DE,3,0,2012
DC,3,0,2012
FL,29,0,2012
GA,0,16,2012
HI,4,0,2012
ID,0,4,2012
IL,20,0,2012
IN,0,11,2012
IA,6,0,2012
KS,0,6,2012
KY,0,8,2012
LA,0,8,2012
ME,4,0,2012
MD,10,0,2012
MA,11,0,2012
MI,16,0,2012
MN,10,0,2012
MS,0,6,2012
MO,0,10,2012
MT,0,3,2012
NE,0,5,2012
NV,6,0,2012
NH,4,0,2012
NJ,14,0,2012
NM,5,0,2012
NY,29,0,2012
NC,0,15,2012
ND,0,3,2012
OH,18,0,2012
OK,0,7,2012
OR,7,0,2012
PA,20,0,2012
RI,4,0,2012
SC,0,9,2012
SD,0,3,2012
TN,0,11,2012
TX,0,38,2012
UT,0,6,2012
VT,3,0,2012
VA,13,0,2012
WA,12,0,2012
WV,0,5,2012
WI,10,0,2012
WY,0,3,2012
AL,0,9,2016
AK,0,3,2016
AZ,0,11,2016
AR,0,6,2016
CA,55,0,2016
CO,9,0,2016
CT,7,0,2016
DE,3,0,2016
DC,3,0,2016
FL,0,29,2016
GA,0,16,2016
HI,3**,0,2016
ID,0,4,2016
IL,20,0,2016
IN,0,11,2016
IA,0,6,2016
KS,0,6,2016
KY,0,8,2016
LA,0,8,2016
ME,3,1,2016
MD,10,0,2016
MA,11,0,2016
MI,0,16,2016
MN,10,0,2016
MS,0,6,2016
MO,0,10,2016
MT,0,3,2016
NE,0,5,2016
NV,6,0,2016
NH,4,0,2016
NJ,14,0,2016
NM,5,0,2016
NY,29,0,2016
NC,0,15,2016
ND,0,3,2016
OH,0,18,2016
OK,0,7,2016
OR,7,0,2016
PA,0,20,2016
RI,4,0,2016
SC,0,9,2016
SD,0,3,2016
TN,0,11,2016
TX,0,36*,2016
UT,0,6,2016
VT,3,0,2016
VA,13,0,2016
WA,8**,0,2016
WV,0,5,2016
WI,0,10,2016
WY,0,3,2016
